step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
230,-3.4410373001098638,230,-3.4410373001098638,230,230,0,230,0.00115,0.10896269989013671,0.0,-3.5500000000000003,0.0,0.0,-3.4410373001098638,1.0
451,-5.217047748731532,221,-5.217047748731532,221,451,0,451,0.002255,0.08295225126846976,0.0,-5.300000000000002,0.0,0.0,-5.217047748731532,1.0
728,-8.04889118078481,277,-8.04889118078481,277,728,0,728,0.00364,0.15110881921519403,0.0,-8.200000000000005,0.0,0.0,-8.04889118078481,1.0
996,-8.147508643689369,268,-8.147508643689369,268,996,0,996,0.00498,0.15249135631063712,0.0,-8.300000000000006,0.0,0.0,-8.147508643689369,1.0
1224,-17.379882516197522,228,-17.379882516197522,228,1224,0,1224,0.00612,0.07011748380246369,0.0,-17.449999999999985,0.0,0.0,-17.379882516197522,1.0
1591,-3.6254781035133035,367,-3.6254781035133035,367,1591,0,1591,0.007955,0.174521896486697,0.0,-3.8000000000000007,0.0,0.0,-3.6254781035133035,1.0
1909,-9.120106029510502,318,-9.120106029510502,318,1909,0,1909,0.009545,0.12989397048950196,0.0,-9.250000000000004,0.0,0.0,-9.120106029510502,1.0
2211,-8.879196175119157,218,-8.879196175119157,218,2211,0,2211,0.011055,0.07080382488084877,0.0,-8.950000000000005,0.0,0.0,-8.879196175119157,1.0
2445,-9.54269803478407,234,-9.54269803478407,234,2445,0,2445,0.012225,0.10730196521593177,0.0,-9.650000000000002,0.0,0.0,-9.54269803478407,1.0
2694,-25.30937319589692,249,-25.30937319589692,249,2694,0,2694,0.01347,0.09062680410302204,0.0,-25.39999999999994,0.0,0.0,-25.30937319589692,1.0
2929,-3.9691460124306057,235,-3.9691460124306057,235,2929,0,2929,0.014645,0.08085398756939431,0.0,-4.050000000000001,0.0,0.0,-3.9691460124306057,1.0
3161,-18.65607165419535,232,-18.65607165419535,232,3161,0,3161,0.015805,0.09392834580462914,0.0,-18.749999999999982,0.0,0.0,-18.65607165419535,1.0
3379,-14.628787500879039,218,-14.628787500879039,218,3379,0,3379,0.016895,0.07121249912096107,0.0,-14.7,0.0,0.0,-14.628787500879039,1.0
3610,-13.60524906481867,231,-13.60524906481867,231,3610,0,3610,0.01805,0.09475093518132749,0.0,-13.699999999999998,0.0,0.0,-13.60524906481867,1.0
3933,-26.72634942618656,323,-26.72634942618656,323,3933,0,3933,0.019665,0.17365057381339696,0.0,-26.899999999999952,0.0,0.0,-26.72634942618656,1.0
4155,-0.017042340071304993,222,-0.017042340071304993,222,4155,0,4155,0.020775,0.08295765992869501,0.0,-0.1,0.0,0.0,-0.017042340071304993,1.0
4398,-28.69491419684362,243,-28.69491419684362,243,4398,0,4398,0.02199,0.1050858031563137,0.0,-28.799999999999933,0.0,0.0,-28.69491419684362,1.0
4670,0.05274516213458519,272,0.05274516213458519,272,4670,0,4670,0.02335,0.1527451621345852,0.0,-0.1,0.0,0.0,0.05274516213458519,1.0
4916,-13.10917215596074,246,-13.10917215596074,246,4916,0,4916,0.02458,0.09082784403925358,0.0,-13.199999999999992,0.0,0.0,-13.10917215596074,1.0
5248,0.11918944748588231,332,0.11918944748588231,332,5248,0,5248,0.02624,0.26918944748588236,0.0,-0.15000000000000002,0.0,0.0,0.11918944748588231,1.0
5465,-10.97874521595499,217,-10.97874521595499,217,5465,0,5465,0.027325,0.0712547840450121,0.0,-11.050000000000002,0.0,0.0,-10.97874521595499,1.0
5733,-9.984080633495168,268,-9.984080633495168,268,5733,0,5733,0.028665,0.16591936650483505,0.0,-10.150000000000002,0.0,0.0,-9.984080633495168,1.0
5975,-12.644362240915704,242,-12.644362240915704,242,5975,0,5975,0.029875,0.10563775908428691,0.0,-12.749999999999991,0.0,0.0,-12.644362240915704,1.0
6197,-11.929777497996456,222,-11.929777497996456,222,6197,0,6197,0.030985,0.07022250200354535,0.0,-12.0,0.0,0.0,-11.929777497996456,1.0
6447,-0.11984936208310336,250,-0.11984936208310336,250,6447,0,6447,0.032235,0.13015063791689666,0.0,-0.25,0.0,0.0,-0.11984936208310336,1.0
